Period_Days,Magnitude
45.63333333333333,720383642196.9344
365.06666666666666,635377025107.9149
782.2857142857142,574421597373.005
547.6,469856107251.7355
121.6888888888889,445260703135.37317
260.76190476190476,426928527813.755
288.2105263157895,408497328621.6828
238.08695652173913,352549055998.7064
15.211111111111112,349207686642.4368
456.33333333333337,345220500059.71436
28.08205128205128,337290765682.1274
40.56296296296296,334614200304.7058
92.8135593220339,315308596437.0571
7.002557544757034,314028303963.37354
33.18787878787879,310046996369.7589
156.45714285714286,306827502280.7646
52.15238095238095,286809615990.9379
8.271903323262839,285934587003.03625
322.11764705882354,275452981685.166
17.384126984126983,274840698613.8429
89.77049180327869,274441760509.23877
85.5625,273627542528.2513
18.253333333333334,265687862733.7978
22.816666666666666,260880953772.21146
6.503562945368171,258720993306.16632
24.337777777777774,254134361033.88153
60.84444444444445,233710557656.70267
14.602666666666666,229599934042.5918
116.51063829787233,221097992959.9885
171.125,220107036063.89456
6.070953436807096,218991744906.67264
12.976303317535544,211869697766.0537
19.214035087719296,203781919794.73907
9.096345514950166,200960260268.32416
77.12676056338027,196933780757.8623
111.75510204081633,193827100261.13443
182.53333333333333,182237313736.74384
64.4235294117647,181918552052.0756
10.103321033210332,181607017450.61487
36.50666666666667,180625780053.8511
30.422222222222224,180551084764.4307
18.132450331125828,178677072556.09232
80.52941176470588,178413525658.92792
54.21782178217822,171890844432.01663
32.790419161676645,171275972397.51932
210.6153846153846,171001815720.78815
68.45,170675450242.75967
7.584487534626038,170280703381.84976
16.593939393939394,168205093072.67953
148.0,164155753266.4931
130.38095238095238,163322877279.89252
27.656565656565654,160645387673.1568
39.68115942028986,158686807348.11725
15.872463768115942,153811931913.07687
5.692307692307692,152854455581.2024
58.88172043010752,151788492058.4004
50.23853211009175,148312532370.5002
29.127659574468083,144990054695.5827
34.01242236024844,144718315510.73178
29.599999999999998,143094798502.74356
105.3076923076923,141423950531.84818
20.50936329588015,140978845446.48538
13.038095238095238,140501818374.54678
15.33893557422969,140223769211.55493
20.28148148148148,139594995209.0631
15.12707182320442,139215143625.37793
22.442622950819672,138942631946.60883
72.05263157894737,138127202769.52603
38.83687943262411,134715430741.1602
14.880434782608695,134397001035.32834
11.360995850622407,134086446427.26015
19.418439716312054,133109104509.55112
30.087912087912088,133069829248.73595
9.126666666666667,129257658243.5972
25.235023041474655,128003018080.38797
9.328790459965928,126536440134.71196
36.026315789473685,124997573591.04509
46.8034188034188,123949231502.6113
18.437710437710436,122077191776.21118
136.9,122047716331.76657
62.94252873563218,122015973271.06322
21.991967871485944,121853348913.07587
28.670157068062828,119859188444.78322
13.42156862745098,118854873138.12209
10.14074074074074,117324158917.87737
13.520987654320987,117208325446.64784
31.29142857142857,116776028663.99846
18.68941979522184,116681598176.91064
10.43047619047619,116424552412.03592
11.552742616033754,115728649931.64874
48.89285714285714,115722126297.12146
12.588505747126435,115564746899.37646
5.060998151571165,115277905562.82587
22.628099173553718,114229020486.01164
