date,volume
2010-07-15 04:00:00+00:00,120954000
2010-07-16 04:00:00+00:00,124558000
2010-07-19 04:00:00+00:00,100618000
2010-07-20 04:00:00+00:00,135700000
2010-07-21 04:00:00+00:00,100234000
2010-07-22 04:00:00+00:00,300068000
2010-07-23 04:00:00+00:00,848422000
2010-07-26 04:00:00+00:00,222756000
2010-07-27 04:00:00+00:00,155922000
2010-07-28 04:00:00+00:00,109446000
2010-07-29 04:00:00+00:00,123516000
2010-07-30 04:00:00+00:00,141550000
2010-08-02 04:00:00+00:00,108874000
2010-08-03 04:00:00+00:00,119076000
2010-08-04 04:00:00+00:00,185416000
2010-08-05 04:00:00+00:00,85646000
2010-08-06 04:00:00+00:00,101304000
2010-08-09 04:00:00+00:00,101716000
2010-08-10 04:00:00+00:00,114138000
2010-08-11 04:00:00+00:00,110834000
2010-08-12 04:00:00+00:00,87358000
2010-08-13 04:00:00+00:00,79532000
2010-08-16 04:00:00+00:00,80494000
2010-08-17 04:00:00+00:00,100894000
2010-08-18 04:00:00+00:00,158030000
2010-08-19 04:00:00+00:00,111650000
2010-08-20 04:00:00+00:00,83402000
2010-08-23 04:00:00+00:00,77226000
2010-08-24 04:00:00+00:00,107394000
2010-08-25 04:00:00+00:00,106890000
2010-08-26 04:00:00+00:00,93890000
2010-08-27 04:00:00+00:00,101600000
2010-08-30 04:00:00+00:00,68520000
2010-08-31 04:00:00+00:00,84512000
2010-09-01 04:00:00+00:00,142766000
2010-09-02 04:00:00+00:00,108148000
2010-09-03 04:00:00+00:00,131624000
2010-09-07 04:00:00+00:00,77660000
2010-09-08 04:00:00+00:00,116570000
2010-09-09 04:00:00+00:00,99160000
2010-09-10 04:00:00+00:00,100872000
2010-09-13 04:00:00+00:00,101548000
2010-09-14 04:00:00+00:00,86388000
2010-09-15 04:00:00+00:00,98072000
2010-09-16 04:00:00+00:00,116540000
2010-09-17 04:00:00+00:00,145192000
2010-09-20 04:00:00+00:00,128988000
2010-09-21 04:00:00+00:00,150840000
2010-09-22 04:00:00+00:00,132248000
2010-09-23 04:00:00+00:00,141312000
2010-09-24 04:00:00+00:00,211812000
2010-09-27 04:00:00+00:00,128926000
2010-09-28 04:00:00+00:00,169884000
2010-09-29 04:00:00+00:00,145750000
2010-09-30 04:00:00+00:00,152120000
2010-10-01 04:00:00+00:00,173668000
2010-10-04 04:00:00+00:00,106930000
2010-10-05 04:00:00+00:00,112400000
2010-10-06 04:00:00+00:00,121216000
2010-10-07 04:00:00+00:00,92440000
2010-10-08 04:00:00+00:00,138368000
2010-10-11 04:00:00+00:00,89728000
2010-10-12 04:00:00+00:00,105616000
2010-10-13 04:00:00+00:00,112656000
2010-10-14 04:00:00+00:00,80482000
2010-10-15 04:00:00+00:00,202710000
2010-10-18 04:00:00+00:00,126626000
2010-10-19 04:00:00+00:00,150500000
2010-10-20 04:00:00+00:00,115808000
2010-10-21 04:00:00+00:00,269650000
2010-10-22 04:00:00+00:00,326368000
2010-10-25 04:00:00+00:00,130618000
2010-10-26 04:00:00+00:00,93792000
2010-10-27 04:00:00+00:00,114436000
2010-10-28 04:00:00+00:00,93688000
2010-10-29 04:00:00+00:00,99970000
2010-11-01 04:00:00+00:00,104798000
2010-11-02 04:00:00+00:00,85200000
2010-11-03 04:00:00+00:00,122242000
2010-11-04 04:00:00+00:00,147918000
2010-11-05 04:00:00+00:00,104244000
2010-11-08 05:00:00+00:00,114120000
2010-11-09 05:00:00+00:00,79572000
2010-11-10 05:00:00+00:00,108806000
2010-11-11 05:00:00+00:00,113834000
2010-11-12 05:00:00+00:00,143212000
2010-11-15 05:00:00+00:00,192972000
2010-11-16 05:00:00+00:00,131428000
2010-11-17 05:00:00+00:00,90498000
2010-11-18 05:00:00+00:00,124506000
2010-11-19 05:00:00+00:00,89296000
2010-11-22 05:00:00+00:00,122850000
2010-11-23 05:00:00+00:00,129306000
2010-11-24 05:00:00+00:00,200850000
2010-11-26 05:00:00+00:00,85432000
2010-11-29 05:00:00+00:00,193900000
2010-11-30 05:00:00+00:00,135244000
2010-12-01 05:00:00+00:00,115402000
2010-12-02 05:00:00+00:00,110752000
2010-12-03 05:00:00+00:00,98150000
2010-12-06 05:00:00+00:00,113084000
2010-12-07 05:00:00+00:00,101542000
2010-12-08 05:00:00+00:00,74538000
2010-12-09 05:00:00+00:00,91110000
2010-12-10 05:00:00+00:00,71310000
2010-12-13 05:00:00+00:00,84050000
2010-12-14 05:00:00+00:00,73706000
2010-12-15 05:00:00+00:00,116210000
2010-12-16 05:00:00+00:00,82430000
2010-12-17 05:00:00+00:00,90146000
2010-12-20 05:00:00+00:00,174706000
2010-12-21 05:00:00+00:00,102220000
2010-12-22 05:00:00+00:00,51562000
2010-12-23 05:00:00+00:00,67164000
2010-12-27 05:00:00+00:00,44988000
2010-12-28 05:00:00+00:00,39500000
2010-12-29 05:00:00+00:00,62402000
2010-12-30 05:00:00+00:00,39224000
2010-12-31 05:00:00+00:00,69038000
2011-01-03 05:00:00+00:00,106628000
2011-01-04 05:00:00+00:00,100636000
2011-01-05 05:00:00+00:00,68376000
2011-01-06 05:00:00+00:00,63594000
2011-01-07 05:00:00+00:00,104434000
2011-01-10 05:00:00+00:00,67518000
2011-01-11 05:00:00+00:00,56284000
2011-01-12 05:00:00+00:00,53582000
2011-01-13 05:00:00+00:00,67340000
2011-01-14 05:00:00+00:00,73256000
2011-01-18 05:00:00+00:00,77924000
2011-01-19 05:00:00+00:00,77648000
2011-01-20 05:00:00+00:00,114198000
2011-01-21 05:00:00+00:00,136124000
2011-01-24 05:00:00+00:00,112006000
2011-01-25 05:00:00+00:00,93020000
2011-01-26 05:00:00+00:00,75244000
2011-01-27 05:00:00+00:00,291888000
2011-01-28 05:00:00+00:00,398164000
2011-01-31 05:00:00+00:00,134362000
2011-02-01 05:00:00+00:00,101718000
2011-02-02 05:00:00+00:00,90950000
2011-02-03 05:00:00+00:00,73578000
2011-02-04 05:00:00+00:00,86956000
2011-02-07 05:00:00+00:00,105094000
2011-02-08 05:00:00+00:00,155898000
2011-02-09 05:00:00+00:00,166254000
2011-02-10 05:00:00+00:00,106628000
2011-02-11 05:00:00+00:00,89758000
2011-02-14 05:00:00+00:00,81226000
2011-02-15 05:00:00+00:00,77818000
2011-02-16 05:00:00+00:00,92564000
2011-02-17 05:00:00+00:00,68510000
2011-02-18 05:00:00+00:00,83572000
2011-02-22 05:00:00+00:00,112742000
2011-02-23 05:00:00+00:00,109640000
2011-02-24 05:00:00+00:00,93130000
2011-02-25 05:00:00+00:00,83828000
2011-02-28 05:00:00+00:00,135664000
2011-03-01 05:00:00+00:00,116942000
2011-03-02 05:00:00+00:00,103714000
2011-03-03 05:00:00+00:00,82764000
2011-03-04 05:00:00+00:00,98486000
2011-03-07 05:00:00+00:00,118658000
2011-03-08 05:00:00+00:00,84380000
2011-03-09 05:00:00+00:00,142178000
2011-03-10 05:00:00+00:00,119968000
2011-03-11 05:00:00+00:00,92198000
2011-03-14 04:00:00+00:00,80440000
2011-03-15 04:00:00+00:00,98690000
2011-03-16 04:00:00+00:00,104162000
2011-03-17 04:00:00+00:00,129428000
2011-03-18 04:00:00+00:00,148854000
2011-03-21 04:00:00+00:00,81102000
2011-03-22 04:00:00+00:00,72228000
2011-03-23 04:00:00+00:00,94426000
2011-03-24 04:00:00+00:00,125664000
2011-03-25 04:00:00+00:00,85876000
2011-03-28 04:00:00+00:00,68016000
2011-03-29 04:00:00+00:00,97692000
2011-03-30 04:00:00+00:00,137186000
2011-03-31 04:00:00+00:00,96530000
2011-04-01 04:00:00+00:00,113682000
2011-04-04 04:00:00+00:00,83728000
2011-04-05 04:00:00+00:00,111384000
2011-04-06 04:00:00+00:00,108614000
2011-04-07 04:00:00+00:00,91280000
2011-04-08 04:00:00+00:00,74528000
2011-04-11 04:00:00+00:00,65942000
2011-04-12 04:00:00+00:00,106690000
2011-04-13 04:00:00+00:00,84326000
2011-04-14 04:00:00+00:00,71764000
2011-04-15 04:00:00+00:00,85448000
2011-04-18 04:00:00+00:00,92330000
2011-04-19 04:00:00+00:00,52920000
2011-04-20 04:00:00+00:00,81350000
2011-04-21 04:00:00+00:00,66962000
2011-04-25 04:00:00+00:00,68762000
2011-04-26 04:00:00+00:00,224000000
2011-04-27 04:00:00+00:00,472460000
2011-04-28 04:00:00+00:00,146000000
2011-04-29 04:00:00+00:00,132818000
2011-05-02 04:00:00+00:00,187962000
2011-05-03 04:00:00+00:00,122000000
2011-05-04 04:00:00+00:00,131000000
2011-05-05 04:00:00+00:00,92000000
2011-05-06 04:00:00+00:00,80278000
2011-05-09 04:00:00+00:00,116508000
2011-05-10 04:00:00+00:00,117718000
2011-05-11 04:00:00+00:00,96180000
2011-05-12 04:00:00+00:00,96000000
2011-05-13 04:00:00+00:00,82474000
2011-05-16 04:00:00+00:00,187728000
2011-05-17 04:00:00+00:00,141466000
2011-05-18 04:00:00+00:00,99116000
2011-05-19 04:00:00+00:00,74024000
2011-05-20 04:00:00+00:00,67620000
2011-05-23 04:00:00+00:00,84000000
2011-05-24 04:00:00+00:00,59454000
2011-05-25 04:00:00+00:00,93226000
2011-05-26 04:00:00+00:00,81504000
2011-05-27 04:00:00+00:00,47052000
2011-05-31 04:00:00+00:00,68180000
2011-06-01 04:00:00+00:00,68904000
2011-06-02 04:00:00+00:00,60898000
2011-06-03 04:00:00+00:00,99490000
2011-06-06 04:00:00+00:00,74320000
2011-06-07 04:00:00+00:00,97330000
2011-06-08 04:00:00+00:00,74332000
2011-06-09 04:00:00+00:00,83746000
2011-06-10 04:00:00+00:00,75208000
2011-06-13 04:00:00+00:00,77378000
2011-06-14 04:00:00+00:00,79206000
2011-06-15 04:00:00+00:00,126354000
2011-06-16 04:00:00+00:00,120642000
