Period_Days,Magnitude
91.26666666666667,37960705408.12103
782.2857142857142,36558414355.61231
45.63333333333333,35323973820.12536
547.6,25643632593.217323
365.06666666666666,24683878874.31418
248.90909090909088,22319089721.457397
30.422222222222224,20001408130.91956
7.002557544757034,17209603877.56293
195.57142857142856,16866410803.99164
156.45714285714286,15352307815.581182
228.16666666666669,14499576842.121338
96.0701754385965,14403815916.383024
14.641711229946523,14358234082.667456
18.253333333333334,14168541189.704296
6.070953436807096,13591203264.453062
22.816666666666666,13523452944.016844
12.617511520737327,13244597941.572247
73.01333333333334,12517921210.658724
288.2105263157895,12443937079.659872
28.08205128205128,12348784272.578466
11.337474120082815,12335804101.20824
13.42156862745098,11834392351.53325
26.076190476190476,11635600821.218172
17.439490445859875,11600957956.823896
61.528089887640455,11585910020.47168
8.259426847662143,11426542144.119022
15.735632183908045,11229408052.134005
43.46031746031746,11143424857.833115
136.9,11109017693.825844
35.790849673202615,11088089353.820923
82.96969696969697,10917891531.766603
10.084714548802946,10809094385.968817
17.8371335504886,10800153709.089014
21.474509803921567,10742964024.284107
77.12676056338027,10407726575.36487
15.91860465116279,10294781333.017103
7.584487534626038,10218849835.408693
121.6888888888889,10081927281.961647
20.28148148148148,10010074962.637024
40.56296296296296,9875447657.94519
148.0,9798556277.440674
6.503562945368171,9750982189.20933
25.708920187793424,9744928994.558378
322.11764705882354,9722916921.518051
10.674463937621834,9666752305.644053
58.88172043010752,9618059497.454857
19.01388888888889,9584855117.599876
26.454106280193237,9569510064.96399
24.337777777777774,9444160047.169706
165.93939393939394,9319214089.07127
16.593939393939394,8981790355.51644
9.081260364842453,8890015081.158798
13.93384223918575,8881511383.774487
15.085399449035812,8747169204.482805
29.44086021505376,8703653130.506243
26.71219512195122,8699391103.661129
23.808695652173913,8681245406.058634
29.76086956521739,8611331731.031147
5.692307692307692,8587620201.703206
21.142857142857142,8526284791.965389
24.017543859649123,8510437496.621253
11.085020242914979,8508196991.421212
20.05860805860806,8489401825.427961
55.87755102040816,8488619940.877342
10.371212121212121,8422850296.918141
19.28169014084507,8304844211.658737
13.554455445544555,8237879967.372267
63.67441860465116,8234749732.742944
79.36231884057972,8234428588.109335
9.312925170068027,8149358489.774379
20.980842911877392,8083231711.324338
13.069212410501194,8066226791.534253
12.168888888888887,8042882706.989442
103.32075471698113,8022840310.975773
42.44961240310077,7800648344.160214
69.31645569620252,7745085795.796506
28.973544973544975,7648671525.073266
15.601139601139602,7616209493.591166
15.253481894150417,7597998452.774944
50.7037037037037,7594665383.0523405
14.486772486772487,7577494554.738726
9.62390158172232,7571865347.235601
13.828282828282827,7471858314.165966
46.8034188034188,7415829753.687984
41.484848484848484,7395605663.420141
10.758349705304518,7389374754.465315
57.04166666666667,7276715192.089074
